num_region;region
1;Castilla y León
2;Andalucía
3;Castilla-La Mancha
4;Aragón
5;Extremadura
6;Cataluña/Catalunya/Països Catalans/Paises Catalanes/catalonia/cat
7;Galicia
8;Comunidad Valenciana/País Valencià/Valencià
9;Murcia/Región de Murcia
10;Asturias/Principado de Asturias/Asturies
11;Navarra/Comunidad Foral de Navarra
12;Madrid/Comunidad de Madrid/CAM
13;Canarias
14;País Vasco/Euskadi/Vascongadas
15;Cantabria
16;La Rioja
17;Baleares/Islas Baleares/Illes Balears
18;Ceuta 
19;Melilla
