1;14;alegría-dulantzi;42.83333000;-2.50000000
1;29;amurrio;43.05000000;-3.00000000
1;493;añana;42.80000000;-2.98333000
1;35;aramaio;43.03889000;-2.56111000
2;19;abengibre;39.21667000;-1.53333000
2;24;alatoz;39.10000000;-1.35000000
2;30;albacete;38.99700000;-1.85450000
2;45;albatana;38.56667000;-1.51667000
2;58;alborea;39.28333000;-1.38333000
2;61;alcadozo;38.63333000;-1.98333000
2;77;alcalá del júcar;39.20000000;-1.43333000
2;83;alcaraz;38.66667000;-2.48333000
3;128;algorfa;38.08333000;-0.80000000
3;134;algueña;38.33333000;-1.00000000
3;149;alicante/alacant;38.34280000;-0.49065000
3;152;almoradí;38.11667000;-0.76667000
4;448;fines;37.36667000;-2.26667000
4;451;fiñana;37.16667000;-2.83333000
4;464;fondón;36.96667000;-2.86667000
4;470;gádor;36.95000000;-2.48333000
50;2989;zuera;41.86667000;-0.78333000
51;13;ceuta;35.89028000;-5.30750000
52;18;melilla;35.31667000;-2.95000000
